I, [2022-10-31T16:52:04.873081 #321847]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.3.1)
E, [2022-10-31T16:52:04.873369 #321847] ERROR -- Kitchen: ------Exception-------
E, [2022-10-31T16:52:04.873394 #321847] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2022-10-31T16:52:04.873410 #321847] ERROR -- Kitchen: Message: Kitchen YAML file /home/svrazovski/chef-repo/kitchen.yml does not exist.
E, [2022-10-31T16:52:04.873445 #321847] ERROR -- Kitchen: ----------------------
E, [2022-10-31T16:52:04.873458 #321847] ERROR -- Kitchen: ------Backtrace-------
E, [2022-10-31T16:52:04.873505 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2022-10-31T16:52:04.873523 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:153:in `data'
E, [2022-10-31T16:52:04.873575 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:131:in `suites'
E, [2022-10-31T16:52:04.873594 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:183:in `filter_instances'
E, [2022-10-31T16:52:04.873606 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:142:in `build_instances'
E, [2022-10-31T16:52:04.873631 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/config.rb:116:in `instances'
E, [2022-10-31T16:52:04.873657 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2022-10-31T16:52:04.873666 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2022-10-31T16:52:04.873675 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command/action.rb:34:in `block in call'
E, [2022-10-31T16:52:04.873685 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2022-10-31T16:52:04.873697 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/command/action.rb:33:in `call'
E, [2022-10-31T16:52:04.873715 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/cli.rb:52:in `perform'
E, [2022-10-31T16:52:04.873730 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2022-10-31T16:52:04.873746 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/command.rb:27:in `run'
E, [2022-10-31T16:52:04.873761 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/invocation.rb:127:in `invoke_command'
E, [2022-10-31T16:52:04.873778 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor.rb:392:in `dispatch'
E, [2022-10-31T16:52:04.873793 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/thor-1.2.1/lib/thor/base.rb:485:in `start'
E, [2022-10-31T16:52:04.873809 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/bin/kitchen:11:in `block in <top (required)>'
E, [2022-10-31T16:52:04.873824 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2022-10-31T16:52:04.873841 #321847] ERROR -- Kitchen: /opt/chef-workstation/embedded/lib/ruby/gems/3.0.0/gems/test-kitchen-3.3.1/bin/kitchen:11:in `<top (required)>'
E, [2022-10-31T16:52:04.873869 #321847] ERROR -- Kitchen: /opt/chef-workstation/bin/kitchen:389:in `load'
E, [2022-10-31T16:52:04.873907 #321847] ERROR -- Kitchen: /opt/chef-workstation/bin/kitchen:389:in `<main>'
E, [2022-10-31T16:52:04.873922 #321847] ERROR -- Kitchen: ----End Backtrace-----
